t x(t) y(t)
+0.000000 +6.200000 +0.000000
+1.256637 +6.151111 +0.777066
+2.513274 +6.005216 +1.541877
+3.769911 +5.764614 +2.282372
+5.026548 +5.433101 +2.986873
+6.283185 +5.015905 +3.644269
+7.539822 +4.519605 +4.244192
+8.796459 +3.952029 +4.777182
+10.053096 +3.322126 +5.234833
+11.309734 +2.639832 +5.609928
+12.566371 +1.915905 +5.896550
+13.823008 +1.161764 +6.090181
+15.079645 +0.389301 +6.187766
+16.336282 -0.389301 +6.187766
+17.592919 -1.161764 +6.090181
+18.849556 -1.915905 +5.896550
+20.106193 -2.639832 +5.609928
+21.362830 -3.322126 +5.234833
+22.619467 -3.952029 +4.777182
+23.876104 -4.519605 +4.244192
+25.132741 -5.015905 +3.644269
+26.389378 -5.433101 +2.986873
+27.646015 -5.764614 +2.282372
+28.902652 -6.005216 +1.541877
+30.159289 -6.151111 +0.777066
+31.415927 -6.200000 +0.000000
+32.672564 -6.151111 -0.777066
+33.929201 -6.005216 -1.541877
+35.185838 -5.764614 -2.282372
+36.442475 -5.433101 -2.986873
+37.699112 -5.015905 -3.644269
+38.955749 -4.519605 -4.244192
+40.212386 -3.952029 -4.777182
+41.469023 -3.322126 -5.234833
+42.725660 -2.639832 -5.609928
+43.982297 -1.915905 -5.896550
+45.238934 -1.161764 -6.090181
+46.495571 -0.389301 -6.187766
+47.752208 +0.389301 -6.187766
+49.008845 +1.161764 -6.090181
+50.265482 +1.915905 -5.896550
+51.522120 +2.639832 -5.609928
+52.778757 +3.322126 -5.234833
+54.035394 +3.952029 -4.777182
+55.292031 +4.519605 -4.244192
+56.548668 +5.015905 -3.644269
+57.805305 +5.433101 -2.986873
+59.061942 +5.764614 -2.282372
+60.318579 +6.005216 -1.541877
+61.575216 +6.151111 -0.777066
+62.831853 +6.200000 -0.000000
